                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                 1.3876,                0.65849,                 1.1185,                0.76699,                      1,                  0.995,                0.60884,                 1.4325,                0.77655,                 1.3166,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.3526,                0.63504,                  1.199,                0.84633,                      1,                  0.995,                0.53457,                 1.4755,                0.79299,                 1.3628,              0.0005546,              0.0005546,              0.0005546
                     75,                  1.306,                0.60607,                 1.1653,                 0.8536,                      1,                  0.995,                0.48342,                 1.5521,                0.81157,                 1.4059,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.3733,                0.61525,                  1.116,                0.87387,                      1,                  0.995,                0.46733,                 1.5681,                0.79826,                  1.436,               0.000515,               0.000515,               0.000515
                     77,                 1.4283,                0.67862,                 1.1351,                0.91383,                      1,                  0.995,                0.45919,                 1.5711,                0.76665,                 1.5173,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.2758,                0.61781,                 1.2107,                0.96869,                      1,                  0.995,                0.44599,                 1.6008,                0.73021,                 1.5752,              0.0004754,              0.0004754,              0.0004754
                     79,                0.92363,                0.54804,                0.81448,                0.97732,                      1,                  0.995,                0.47431,                 1.6552,                0.73701,                 1.6103,              0.0004556,              0.0004556,              0.0004556
                     80,                 0.9043,                0.42636,                0.88413,                0.98061,                      1,                  0.995,                 0.4623,                 1.6987,                0.71606,                 1.5919,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.1811,                0.54349,                 1.0844,                0.98265,                      1,                  0.995,                0.53592,                 1.6957,                0.67008,                 1.5561,               0.000416,               0.000416,               0.000416
                     82,                 1.1844,                0.54583,                 1.0753,                0.98439,                      1,                  0.995,                0.50064,                 1.6885,                 0.6375,                  1.545,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.2715,                0.58671,                 1.0923,                0.98591,                      1,                  0.995,                0.49283,                 1.6638,                0.64656,                 1.4954,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.2777,                 0.5691,                 1.0933,                 0.9863,                      1,                  0.995,                0.49796,                 1.6826,                 0.6656,                 1.4554,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.1665,                0.56409,                 1.0653,                 0.9864,                      1,                  0.995,                0.52389,                 1.5816,                0.76397,                 1.4037,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.2049,                0.56681,                 1.0817,                0.98563,                      1,                  0.995,                0.56482,                 1.5126,                0.76075,                 1.3862,               0.000317,               0.000317,               0.000317
                     87,                 1.3831,                0.64185,                 1.1442,                0.98565,                      1,                  0.995,                0.55569,                 1.4952,                0.70647,                 1.4298,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.0233,                 1.0623,                0.84595,                 0.9853,                      1,                  0.995,                0.56009,                 1.5443,                0.63259,                 1.4882,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.0891,                0.54488,                 1.0101,                0.98527,                      1,                  0.995,                0.55266,                  1.504,                0.61805,                 1.5294,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.2062,                0.62533,                 1.0634,                0.98485,                      1,                  0.995,                0.53351,                 1.5472,                0.59872,                 1.5795,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.2945,                0.55556,                 1.1361,                0.98356,                      1,                  0.995,                 0.5522,                 1.5466,                0.61916,                 1.5989,               0.000218,               0.000218,               0.000218
                     92,                 1.4047,                 0.5805,                 1.2346,                0.98161,                      1,                  0.995,                0.52049,                 1.5618,                 0.6312,                 1.6186,              0.0001982,              0.0001982,              0.0001982
                     93,                  1.301,                0.57666,                 1.4906,                0.98492,                      1,                  0.995,                0.52019,                 1.6085,                0.61192,                 1.6305,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.0778,                0.54845,                 1.1948,                 0.9854,                      1,                  0.995,                0.52072,                 1.6642,                0.60303,                 1.6515,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.2808,                0.62031,                 1.4653,                0.98589,                      1,                  0.995,                0.53852,                 1.6802,                0.62028,                  1.658,              0.0001388,              0.0001388,              0.0001388
                     96,                0.88929,                0.43535,                0.84478,                0.98656,                      1,                  0.995,                  0.539,                 1.6879,                0.61644,                 1.6645,               0.000119,               0.000119,               0.000119
                     97,                 1.1182,                0.49391,                 1.0971,                0.98664,                      1,                  0.995,                0.53942,                 1.6947,                0.57136,                 1.6594,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.3107,                0.58024,                 1.2166,                0.98674,                      1,                  0.995,                0.53992,                 1.7021,                0.58572,                 1.6657,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.4429,                0.70922,                 1.2428,                0.98656,                      1,                  0.995,                 0.5401,                   1.71,                0.59705,                 1.6751,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.1922,                0.53703,                  1.106,                0.98642,                      1,                  0.995,                0.53992,                  1.724,                0.57731,                 1.6818,               3.98e-05,               3.98e-05,               3.98e-05
